INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (1, 'Raihan Gunarto', 'Teknik Industri', 422474921250001, 'raihangunarto@gmail.com', '4654 Bernhard Terrace', 'P', '2022-04-30');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (3, 'Gilang Yanuar', 'Teknik Industri', 422474921250003, 'gilangyanuar@gmail.com', '09244 Aurelia River', 'P', '2020-12-03');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (6, 'Oskar Waluyo', 'Biomedik', 422474921250006, 'oskarwaluyo@gmail.com', '7986 Alessandra Ramp', 'L', '2021-09-07');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (4, 'Lutfan Hutapea', 'Sistem Informasi', 422474921250004, 'lutfanhutapea@gmail.com', '293 Juwita Parkway', 'P', '2021-04-03');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (7, 'Ami Febrianti', 'Teknik Elektro', 422474921250007, 'amifebrianti@gmail.com', '43449 Skye Field', 'L', '2021-08-29');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (2, 'Damu Budiyanto', 'Sistem Informasi', 422474921250002, 'damubudiyanto@gmail.com', '001 Darrick Forks', 'P', '2022-04-26');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (5, 'Agustina Anandya S.T.', 'Manajemen', 422474921250005, 'agustinaanandyas.t.@gmail.com', '1714 Mack Valley', 'P', '2021-05-10');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (9, 'Bakda Wicaksono S.IP', 'Kedokteran', 422474921250009, 'bakdawicaksonos.ip@gmail.com', '4778 Mayasari Extension', 'P', '2022-01-23');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (10, 'Janet Nuraini', 'Biomedik', 422474921250010, 'janetnuraini@gmail.com', '11952 Armani Radial', 'L', '2021-03-01');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (8, 'Karsa Purwadi S.Sos', 'Teknik Mesin', 422474921250008, 'karsapurwadis.sos@gmail.com', '313 Mozelle Landing', 'L', '2021-07-27');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (11, 'Yuni Uyainah', 'Kedokteran', 422474921250011, 'yuniuyainah@gmail.com', '61752 Suartini Mountain', 'L', '2022-09-08');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (12, 'Ophelia Uyainah M.TI.', 'Manajemen', 422474921250012, 'opheliauyainahm.ti.@gmail.com', '8290 Saefullah Route', 'P', '2022-03-24');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (13, 'Hilda Aryani', 'Teknik Industri', 422474921250013, 'hildaaryani@gmail.com', '888 Kelley Trafficway', 'L', '2021-02-02');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (14, 'Warsita Pradana', 'Teknik Informatika', 422474921250014, 'warsitapradana@gmail.com', '50949 Santoso Loop', 'L', '2022-09-18');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (16, 'Sherly Permata', 'Biomedik', 422474921250016, 'sherlypermata@gmail.com', '8224 Geovanni Dam', 'L', '2022-03-08');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (17, 'Kurnia Uwais S.Gz', 'Kedokteran', 422474921250017, 'kurniauwaiss.gz@gmail.com', '71699 Ophelia Vista', 'P', '2022-04-20');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (18, 'Irma Maharani S.Ked', 'Psikologi', 422474921250018, 'irmamaharanis.ked@gmail.com', '470 Rajata Loaf', 'L', '2021-09-25');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (19, 'Yani Yulianti', 'Sistem Informasi', 422474921250019, 'yaniyulianti@gmail.com', '9795 Karlie Villages', 'P', '2022-01-21');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (15, 'Hana Damayanti', 'Teknik Informatika', 422474921250015, 'hanadamayanti@gmail.com', '106 Isaias Causeway', 'P', '2021-02-12');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (21, 'Suci Kuswandari', 'Psikologi', 422474921250021, 'sucikuswandari@gmail.com', '932 Rayhan Field', 'L', '2021-09-25');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (20, 'Omar Lazuardi', 'Biomedik', 422474921250020, 'omarlazuardi@gmail.com', '70198 Katharina Forest', 'L', '2022-07-10');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (22, 'Oni Ardiyanti', 'Kedokteran', 422474921250022, 'oniardiyanti@gmail.com', '91472 Micheal Corners', 'L', '2021-09-29');
