INSERT INTO Petugas (pe_id, pe_ak_id, pe_nama, pe_nip, pe_no_telp, pe_email, pe_alamat, pe_jenis_kelamin) VALUES (4202, 3102, 'Michelle Suryatmi M.Ak', 5544443333222202, '+628444701606', 'karimahdamayanti@gmail.com', '50860 Felicia Plaza', 'L');
INSERT INTO Petugas (pe_id, pe_ak_id, pe_nama, pe_nip, pe_no_telp, pe_email, pe_alamat, pe_jenis_kelamin) VALUES (4203, 3102, 'Jaga Wahyudin', 5544443333222203, '+628617614160', 'lamarsabian@gmail.com', '3766 Putri Forest', 'L');
INSERT INTO Petugas (pe_id, pe_ak_id, pe_nama, pe_nip, pe_no_telp, pe_email, pe_alamat, pe_jenis_kelamin) VALUES (4204, 3104, 'Vera Mustika', 5544443333222204, '+628292845227', 'zulaikhapurnama@gmail.com', '967 Samosir Pine', 'L');
INSERT INTO Petugas (pe_id, pe_ak_id, pe_nama, pe_nip, pe_no_telp, pe_email, pe_alamat, pe_jenis_kelamin) VALUES (4205, 3103, 'Makara Budiman M.Pd', 5544443333222205, '+628321728966', 'sucikusuma@gmail.com', '49737 Suryatmi Oval', 'L');
INSERT INTO Petugas (pe_id, pe_ak_id, pe_nama, pe_nip, pe_no_telp, pe_email, pe_alamat, pe_jenis_kelamin) VALUES (4201, 3102, 'Daru Wibowo', 5544443333222201, '+628639289186', 'parispratiwis.ip@gmail.com', '179 Ressie Fields', 'P');
INSERT INTO Petugas (pe_id, pe_ak_id, pe_nama, pe_nip, pe_no_telp, pe_email, pe_alamat, pe_jenis_kelamin) VALUES (4207, 3102, 'Ida Riyanti', 5544443333222207, '+628564535371', 'padmahariyah@gmail.com', '85075 Aurelia Isle', 'L');
INSERT INTO Petugas (pe_id, pe_ak_id, pe_nama, pe_nip, pe_no_telp, pe_email, pe_alamat, pe_jenis_kelamin) VALUES (4206, 3102, 'Kawaya Hakim', 5544443333222206, '+628355492950', 'gangsarprayoga@gmail.com', '756 Andriani Gardens', 'L');
INSERT INTO Petugas (pe_id, pe_ak_id, pe_nama, pe_nip, pe_no_telp, pe_email, pe_alamat, pe_jenis_kelamin) VALUES (4208, 3104, 'Rahmi Azzahra', 5544443333222208, '+628827273096', 'mulyantomaryadim.m.@gmail.com', '96785 Cielo Forest', 'P');
INSERT INTO Petugas (pe_id, pe_ak_id, pe_nama, pe_nip, pe_no_telp, pe_email, pe_alamat, pe_jenis_kelamin) VALUES (4210, 3104, 'Diana Azzahra', 5544443333222210, '+628669564310', 'noviwahyunis.h.@gmail.com', '5390 Sabian Stravenue', 'L');
INSERT INTO Petugas (pe_id, pe_ak_id, pe_nama, pe_nip, pe_no_telp, pe_email, pe_alamat, pe_jenis_kelamin) VALUES (4209, 3102, 'Galak Airlangga', 5544443333222209, '+628914151965', 'asmuniuwais@gmail.com', '34320 Brent Overpass', 'L');
INSERT INTO Petugas (pe_id, pe_ak_id, pe_nama, pe_nip, pe_no_telp, pe_email, pe_alamat, pe_jenis_kelamin) VALUES (4211, 3103, 'Silvia Suryatmi S.Farm', 5544443333222211, '+628582104374', 'viktorirfandi@gmail.com', '2230 Katelyn Park', 'P');
